pos	avg*ABBA	avg*BABA	avg*AABB	sliding_D*	QuartetCnt
0	0.537353	3.98707	5.96044	-0.329019	9.51e+07
1000	0.53609	3.99383	5.95884	-0.329662	9.49e+07
2000	0.534532	4.00098	5.95672	-0.330382	9.47e+07
3000	0.533198	4.00716	5.95534	-0.330989	9.45e+07
4000	0.53172	4.01353	5.95348	-0.331641	9.43e+07
5000	0.530334	4.01995	5.95264	-0.332252	9.41e+07
6000	0.52894	4.027	5.95219	-0.332891	9.39e+07
7000	0.527697	4.03399	5.95159	-0.333511	9.37e+07
8000	0.526494	4.04184	5.95137	-0.334168	9.35e+07
9000	0.525216	4.04916	5.95086	-0.334809	9.33e+07
10000	0.52402	4.05713	5.94925	-0.335515	9.31e+07
11000	0.522961	4.06438	5.94928	-0.336106	9.29e+07
12000	0.521505	4.0719	5.94838	-0.336792	9.27e+07
13000	0.520172	4.07895	5.94748	-0.337433	9.25e+07
14000	0.518775	4.08723	5.94772	-0.338123	9.23e+07
15000	0.517304	4.09542	5.94678	-0.338852	9.21e+07
16000	0.515951	4.1029	5.94703	-0.339484	9.19e+07
17000	0.514524	4.11176	5.94658	-0.340233	9.17e+07
18000	0.513011	4.11939	5.94601	-0.340919	9.15e+07
19000	0.511418	4.12813	5.94541	-0.341684	9.13e+07
20000	0.50985	4.1368	5.94499	-0.342435	9.11e+07
21000	0.508453	4.14457	5.94522	-0.343087	9.09e+07
22000	0.506638	4.15211	5.94482	-0.343797	9.07e+07
23000	0.50481	4.16078	5.9437	-0.344601	9.05e+07
24000	0.502778	4.16884	5.94315	-0.345374	9.03e+07
25000	0.500934	4.17664	5.94374	-0.346069	9.01e+07
26000	0.499065	4.18447	5.94395	-0.346781	8.99e+07
27000	0.497488	4.19197	5.94335	-0.347461	8.97e+07
28000	0.495833	4.19894	5.94289	-0.348112	8.95e+07
29000	0.494617	4.20677	5.94199	-0.348776	8.93e+07
30000	0.493844	4.21541	5.94102	-0.349434	8.91e+07
31000	0.493169	4.22288	5.94052	-0.349992	8.89e+07
32000	0.49268	4.23118	5.94013	-0.350572	8.87e+07
33000	0.492144	4.23896	5.93949	-0.351134	8.85e+07
34000	0.49172	4.2473	5.9384	-0.351731	8.83e+07
35000	0.49155	4.2552	5.9376	-0.352259	8.81e+07
36000	0.491251	4.26393	5.93545	-0.352896	8.79e+07
37000	0.491555	4.27201	5.93372	-0.353403	8.77e+07
38000	0.491966	4.28018	5.93121	-0.353928	8.75e+07
39000	0.492538	4.28944	5.92836	-0.354508	8.73e+07
40000	0.492931	4.29734	5.92563	-0.355025	8.71e+07
41000	0.49339	4.30556	5.92395	-0.355516	8.69e+07
42000	0.493616	4.31377	5.92174	-0.356055	8.67e+07
43000	0.493862	4.32416	5.91907	-0.356735	8.65e+07
44000	0.494271	4.3326	5.91706	-0.357256	8.63e+07
45000	0.494618	4.34127	5.91469	-0.357809	8.61e+07
46000	0.495019	4.34938	5.91273	-0.358308	8.59e+07
47000	0.495479	4.35806	5.91034	-0.358847	8.57e+07
48000	0.496	4.36683	5.90757	-0.359395	8.55e+07
49000	0.496555	4.37639	5.90427	-0.360003	8.53e+07
